fecha,medios-inv-tv,medios-inv-radio,medios-inv-prensa,medios-inv-revistas,medios-inv-exterior,medios-inv-sem,medios-inv-rtb,medios-inv-afiliacion,medios-inv-rrss,medios-inv-display,medios-inv-audio_on,medios-inv-video_on,medios-inv-content,org-email,org-carta,org-sms,org-push,medios-inv-patrocinio,control-not-set_consideracion-bankinter,control-not-set_consideracion-caixa,control-not-set_consideracion-ing,control-not-set_consideracion-sabadell,control-not-set_consideracion-ibercaja,medios-inv-digital-performance,medios-inv-digital-branding,medios-inv-off,medios-inv-news-radio
2025-11-01,3557.3999999999996,6315.062599999999,0.0,0.0,2159.85,34743.1898,2451.8592999999996,11328.625,0.0,26865.388,0.0,0.0,4235.0,2458700,63562,85971,782049,201083.0,0.20066666666666666,0.41455555555555557,0.3897777777777778,0.2368888888888889,0.2081111111111111,75389.0621,4235.0,5717.25,6315.062599999999
2025-10-01,16388.239999999998,19184.695200000002,14763.5125,0.0,1727.8799999999999,37308.12594193548,15863.95870967742,0.0,13730.767741935482,75374.8213922,22062.64429032258,0.0,41106.04193548387,4027427,35023,80817,624122,228943.0,0.19733333333333333,0.4397777777777778,0.41855555555555557,0.1988888888888889,0.23177777777777775,142277.67378574837,63168.68622580645,18116.12,33948.2077
2025-09-01,17902.35656,21380.5185,32491.525,0.0,2591.8199999999997,27300.87426,0.0,0.0,0.0,27545.341752499997,0.0,0.0,2662.0,1982129,11185,115779,234198,257733.06,0.15366666666666667,0.4597777777777778,0.386,0.20522222222222222,0.2142222222222222,54846.216012499994,2662.0,20494.17656,53872.0435
2025-08-01,2299.0,0.0,0.0,0.0,1727.8799999999999,25539.86688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786993,3890,102042,170557,210130.0,0.18855555555555556,0.4284444444444444,0.38122222222222224,0.2401111111111111,0.2062222222222222,25539.86688,0.0,4026.88,0.0
2025-07-01,786.5,0.0,10587.5,0.0,2051.8575,24797.05756,0.0,0.0,0.0,1502.8199999999997,0.0,0.0,1331.0,3573545,1679,98936,684790,83000.0,0.16655555555555557,0.43277777777777776,0.3788888888888889,0.22499999999999998,0.21511111111111111,26299.87756,1331.0,2838.3575,10587.5
2025-06-01,73472.41,13726.599808791208,14831.0125,0.0,9581.0825,35216.42927,0.0,0.0,0.0,9180.875,0.0,0.0,71534.77649999999,4074538,65206,153008,1441448,137500.0,0.179,0.44622222222222224,0.3844444444444444,0.22044444444444444,0.2102222222222222,44397.30427,71534.77649999999,83053.49250000001,28557.61230879121
2025-05-01,856026.7936,233383.64159120875,6957.5,0.0,314813.42688888905,35275.70112,0.0,0.0,167803.7922,79028.73,0.0,571873.709,113976.37350000002,3951923,75379,119904,1120204,100000.0,0.12522222222222223,0.4361111111111111,0.3894444444444444,0.2426666666666667,0.1987777777777778,282108.22332,685850.0825,1170840.2204888891,240341.14159120875
2025-04-01,0.0,0.0,0.0,0.0,1511.895,15822.95704,0.0,0.0,0.0,0.0,0.0,0.0,1331.0,1285138,1659,63365,718731,246400.0,0.14522222222222222,0.45066666666666666,0.3861111111111111,0.20155555555555557,0.2167777777777778,15822.95704,1331.0,1511.895,0.0
2025-03-01,786.5,0.0,3206.5,0.0,2159.85,15812.80272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1882929,212764,140827,354765,70000.0,0.14600000000000002,0.4284444444444444,0.3891111111111111,0.24777777777777776,0.23811111111111108,15812.80272,0.0,2946.35,3206.5
2025-02-01,786.5,4584.9925,10527.0,0.0,2159.85,17863.91244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131462,2636,118971,130008,186714.0,0.1448888888888889,0.48066666666666663,0.36166666666666664,0.224,0.24455555555555555,17863.91244,0.0,2946.35,15111.9925
